code,EN,FR,DE,IT,PT,AR,RU,ES,JA,ZH
main.title,Meat consumption around the world 1961-2013,,,,,,,,,
descr,In grams per capita per day. For selected regions and countries,,,,,,,,,
source,Source,source,Quelle,Fonte,fonte,المصدر,Источник,Fuente,出典,来源
source.name,Food and Agriculture Organization of the United Nations,,,,,,,,,
source.link,http://faostat3.fao.org/download/FB/FBS/E,http://faostat3.fao.org/download/FB/FBS/E,http://faostat3.fao.org/download/FB/FBS/E,http://faostat3.fao.org/download/FB/FBS/E,http://faostat3.fao.org/download/FB/FBS/E,http://faostat3.fao.org/download/FB/FBS/E,http://faostat3.fao.org/download/FB/FBS/E,http://faostat3.fao.org/download/FB/FBS/E,http://faostat3.fao.org/download/FB/FBS/E,http://faostat3.fao.org/download/FB/FBS/E
x.axis,year,,,,,,,,,
y.axis,meat,,,,,,,,,
bovine,bovine,,,,,,,,,
pig,pig,,,,,,,,,
poultry,poultry,,,,,,,,,
muttonGoat,mutton & goat,,,,,,,,,
other,other,,,,,,,,,
WORLD,World,,,,,,,,,
EUROPE,Europe,,,,,,,,,
AFRICA,Africa,,,,,,,,,
SOUTH AMERICA,South America,,,,,,,,,
ASIA,Asia,,,,,,,,,
CH,Switzerland,,,,,,,,,
US,United States of America,,,,,,,,,
CN,China,,,,,,,,,
JP,Japan,,,,,,,,,
BR,Brazil,,,,,,,,,
FR,France,,,,,,,,,
DE,Germany,,,,,,,,,
IT,Italy,,,,,,,,,
ES,Spain,,,,,,,,,
PT,Portugal,,,,,,,,,
GB,United Kingdom,,,,,,,,,
MA,Morocco,,,,,,,,,
AR,Argentina,,,,,,,,,
IN,India,,,,,,,,,
RU,Russian Federation,,,,,,,,,
